OrderID,Month,Quarter,State,CustomerName,Category,SubCategory,PaymentMode,Quantity,Amount,Profit
ORD-1066,July,Qtr 3,Uttar Pradesh,Vishakha,Furniture,Tables,Credit Card,7,9796.53,195.04
ORD-1067,September,Qtr 3,Madhya Pradesh,Vishakha,Electronics,Electronic Games,COD,9,12830.18,369.23
ORD-1068,August,Qtr 3,Maharashtra,Ayush,Clothing,Saree,COD,7,3989.82,-149.64
ORD-1069,August,Qtr 3,Maharashtra,Vishakha,Clothing,Accessories,COD,5,5035.61,-150.03
ORD-1070,August,Qtr 3,Maharashtra,Ayush,Furniture,Tables,Credit Card,9,5645.59,310.22
ORD-1071,August,Qtr 3,Madhya Pradesh,Ayush,Clothing,Saree,Credit Card,7,7335.56,-50.06
ORD-1072,August,Qtr 3,Madhya Pradesh,Madhav,Furniture,Bookcases,Credit Card,10,11066.62,261.12
ORD-1073,September,Qtr 3,Uttar Pradesh,Surabhi,Clothing,Accessories,UPI,9,8758.68,-185.18
ORD-1074,August,Qtr 3,Madhya Pradesh,Vishakha,Clothing,Saree,COD,5,5077.26,-579.76
ORD-1075,July,Qtr 3,Madhya Pradesh,Surabhi,Clothing,Saree,EMI,5,3623.2,-79.87
ORD-1076,August,Qtr 3,Uttar Pradesh,Surabhi,Furniture,Bookcases,UPI,8,8890.19,484.24
ORD-1077,September,Qtr 3,Maharashtra,Surabhi,Clothing,Accessories,UPI,7,6960.64,-86.6
ORD-1078,September,Qtr 3,Madhya Pradesh,Vishakha,Clothing,Saree,Credit Card,7,5031.89,-170.62
ORD-1079,August,Qtr 3,Madhya Pradesh,Vishakha,Clothing,Accessories,UPI,9,6742.78,-177.25
ORD-1080,August,Qtr 3,Kerala,Madhav,Electronics,Electronic Games,EMI,9,13391.03,397.73
ORD-1081,August,Qtr 3,Madhya Pradesh,Madhav,Electronics,Electronic Games,COD,3,3730.97,337.34
ORD-1082,August,Qtr 3,Maharashtra,Ayush,Electronics,Electronic Games,EMI,9,8861.37,219.62
ORD-1083,September,Qtr 3,Uttar Pradesh,Ayush,Clothing,Saree,COD,4,3086.86,-97.96
ORD-1084,September,Qtr 3,Uttar Pradesh,Surabhi,Clothing,Saree,COD,3,2193.78,-154.09
ORD-1085,August,Qtr 3,Maharashtra,Vishakha,Furniture,Bookcases,EMI,7,6353.2,371.31
ORD-1086,September,Qtr 3,Maharashtra,Surabhi,Furniture,Bookcases,COD,7,6226.34,484.9
ORD-1087,August,Qtr 3,Kerala,Madhav,Clothing,Saree,COD,8,4047.17,-102.76
ORD-1088,July,Qtr 3,Uttar Pradesh,Surabhi,Furniture,Tables,Credit Card,8,5755.37,317.92
ORD-1089,July,Qtr 3,Uttar Pradesh,Ayush,Clothing,Accessories,COD,7,8569.27,-176.08
ORD-1090,September,Qtr 3,Uttar Pradesh,Madhav,Electronics,Electronic Games,Credit Card,10,10643.92,113.55
ORD-1091,August,Qtr 3,Kerala,Surabhi,Clothing,Accessories,UPI,8,5453.83,-89.02
ORD-1092,August,Qtr 3,Uttar Pradesh,Madhav,Furniture,Bookcases,UPI,6,5025.0,539.82
ORD-1093,July,Qtr 3,Uttar Pradesh,Ayush,Clothing,Accessories,Debit Card,2,1940.61,-162.35
ORD-1094,July,Qtr 3,Madhya Pradesh,Surabhi,Clothing,Accessories,COD,2,2562.47,-591.05
ORD-1095,August,Qtr 3,Madhya Pradesh,Surabhi,Clothing,Saree,UPI,1,1121.34,-85.78
ORD-1096,July,Qtr 3,Madhya Pradesh,Surabhi,Clothing,Saree,UPI,8,9595.72,-165.03
ORD-1097,August,Qtr 3,Madhya Pradesh,Surabhi,Clothing,Saree,Debit Card,5,3040.49,-53.85
ORD-1098,September,Qtr 3,Madhya Pradesh,Madhav,Furniture,Tables,UPI,4,2303.99,445.31
ORD-1099,July,Qtr 3,Madhya Pradesh,Vishakha,Clothing,Saree,UPI,5,6751.47,-140.06
ORD-1100,September,Qtr 3,Madhya Pradesh,Ayush,Clothing,Saree,UPI,9,8355.4,-105.59
ORD-1101,August,Qtr 3,Maharashtra,Vishakha,Electronics,Electronic Games,Credit Card,7,9256.32,152.77
ORD-1102,September,Qtr 3,Maharashtra,Surabhi,Furniture,Tables,COD,7,4732.96,360.87
ORD-1103,August,Qtr 3,Madhya Pradesh,Madhav,Clothing,Accessories,UPI,8,7484.6,-159.65
ORD-1104,August,Qtr 3,Madhya Pradesh,Surabhi,Electronics,Electronic Games,EMI,2,1557.86,325.4
ORD-1105,August,Qtr 3,Maharashtra,Ayush,Clothing,Accessories,COD,1,994.31,-98.75
ORD-1106,September,Qtr 3,Madhya Pradesh,Ayush,Clothing,Saree,COD,5,4201.69,-728.19
ORD-1107,September,Qtr 3,Uttar Pradesh,Vishakha,Clothing,Accessories,UPI,9,13032.56,-62.84
ORD-1108,September,Qtr 3,Kerala,Madhav,Clothing,Accessories,Credit Card,9,11323.48,-153.59
ORD-1109,September,Qtr 3,Maharashtra,Madhav,Clothing,Accessories,COD,1,593.05,-83.24
ORD-1110,August,Qtr 3,Madhya Pradesh,Ayush,Clothing,Saree,Credit Card,10,8690.2,-133.02
ORD-1111,August,Qtr 3,Madhya Pradesh,Ayush,Clothing,Accessories,COD,6,7217.13,-362.55
ORD-1112,September,Qtr 3,Uttar Pradesh,Vishakha,Clothing,Saree,Credit Card,4,3262.19,-161.43
ORD-1113,September,Qtr 3,Madhya Pradesh,Surabhi,Clothing,Saree,UPI,4,4954.42,-91.47
ORD-1114,August,Qtr 3,Madhya Pradesh,Vishakha,Clothing,Accessories,UPI,4,3184.99,-104.13
ORD-1115,August,Qtr 3,Maharashtra,Surabhi,Clothing,Saree,UPI,5,2727.58,-58.18
ORD-1116,August,Qtr 3,Madhya Pradesh,Madhav,Clothing,Saree,UPI,2,2745.44,-136.11
ORD-1117,August,Qtr 3,Uttar Pradesh,Madhav,Clothing,Accessories,UPI,6,4106.18,-57.71
ORD-1118,September,Qtr 3,Madhya Pradesh,Vishakha,Clothing,Saree,UPI,7,6942.23,-136.55
ORD-1119,July,Qtr 3,Maharashtra,Surabhi,Clothing,Saree,EMI,3,3933.43,-192.37
ORD-1120,September,Qtr 3,Madhya Pradesh,Vishakha,Clothing,Saree,UPI,9,11379.99,-140.95
ORD-1121,September,Qtr 3,Maharashtra,Madhav,Clothing,Saree,EMI,8,11268.04,-94.6
ORD-1122,September,Qtr 3,Kerala,Ayush,Clothing,Accessories,Debit Card,10,11210.27,-141.44
ORD-1123,July,Qtr 3,Madhya Pradesh,Surabhi,Clothing,Saree,COD,4,3058.58,-248.71
ORD-1124,September,Qtr 3,Madhya Pradesh,Vishakha,Clothing,Saree,Credit Card,3,1508.03,-117.58
ORD-1125,September,Qtr 3,Madhya Pradesh,Ayush,Clothing,Accessories,Debit Card,1,731.48,-156.04
ORD-1126,September,Qtr 3,Uttar Pradesh,Vishakha,Clothing,Accessories,COD,4,5695.64,-168.17
ORD-1127,August,Qtr 3,Maharashtra,Madhav,Electronics,Electronic Games,UPI,2,2089.12,423.82
ORD-1128,September,Qtr 3,Uttar Pradesh,Vishakha,Clothing,Saree,Credit Card,1,665.92,-96.14
ORD-1129,August,Qtr 3,Madhya Pradesh,Madhav,Furniture,Tables,Credit Card,2,1937.4,252.05
ORD-1130,August,Qtr 3,Kerala,Madhav,Clothing,Accessories,COD,8,4643.53,-55.98
ORD-1131,September,Qtr 3,Uttar Pradesh,Ayush,Electronics,Electronic Games,COD,1,591.33,580.96
ORD-1132,August,Qtr 3,Uttar Pradesh,Ayush,Furniture,Bookcases,UPI,10,5402.32,478.13
ORD-1133,August,Qtr 3,Uttar Pradesh,Ayush,Electronics,Electronic Games,COD,3,4490.84,317.94
ORD-1134,July,Qtr 3,Maharashtra,Madhav,Clothing,Saree,Debit Card,6,5450.09,-98.16
ORD-1135,August,Qtr 3,Uttar Pradesh,Ayush,Clothing,Saree,COD,7,8355.72,-93.23
ORD-1136,August,Qtr 3,Kerala,Madhav,Clothing,Saree,COD,2,1629.03,-98.49
ORD-1137,September,Qtr 3,Kerala,Madhav,Clothing,Saree,EMI,7,3879.43,-127.77
ORD-1138,August,Qtr 3,Maharashtra,Madhav,Clothing,Accessories,UPI,1,703.56,-132.38
ORD-1139,July,Qtr 3,Madhya Pradesh,Madhav,Furniture,Tables,UPI,2,1057.74,415.01
ORD-1140,July,Qtr 3,Uttar Pradesh,Ayush,Clothing,Saree,Credit Card,9,4623.07,-111.2
ORD-1141,September,Qtr 3,Maharashtra,Madhav,Clothing,Saree,COD,2,2295.42,-73.1
ORD-1142,July,Qtr 3,Maharashtra,Ayush,Clothing,Accessories,Debit Card,7,9343.07,-197.04
ORD-1143,September,Qtr 3,Madhya Pradesh,Surabhi,Furniture,Tables,COD,7,4834.27,399.69
ORD-1144,August,Qtr 3,Maharashtra,Vishakha,Clothing,Saree,COD,5,6363.38,-178.16
ORD-1145,September,Qtr 3,Uttar Pradesh,Vishakha,Electronics,Electronic Games,COD,5,6130.25,518.74
ORD-1146,September,Qtr 3,Uttar Pradesh,Surabhi,Clothing,Accessories,COD,8,8308.64,-101.77
ORD-1147,July,Qtr 3,Kerala,Madhav,Clothing,Accessories,COD,6,8217.61,-197.12
ORD-1148,September,Qtr 3,Uttar Pradesh,Surabhi,Electronics,Electronic Games,EMI,7,3805.53,472.35
ORD-1149,September,Qtr 3,Uttar Pradesh,Madhav,Clothing,Accessories,COD,3,2985.99,-55.55
